key_droid	key_apple	base_value	lang_value	base_note	lang_note
	history_data_alert_cancel	Cancel	Annulla	History Data Alert: Cancel button	I follwed the way commands are transalated in MS Excel
	history_data_alert_clear	Clear	Cancella	History Data Alert: Clear button	Aranzulla - come cancellare i dati di navigazione (clear data):  https://www.aranzulla.it/come-svuotare-la-cache-del-browser-14614.html
	history_data_alert_import	Import	Importa	History Data Alert: Import buttom	
	history_data_alert_ok	OK	OK	History Data Alert: OK button	
	history_data_export_btn	Export History Data	Esporta la cronologia	History Data: export action button	
	history_data_export_text	Export has been written to:	I dati esportati sono stati scritti in:	History Data: export description text	
	history_data_import_btn	Import History Data	Importa la cronologia	History Data: import action button	
	history_data_import_caution_text	Caution: This import will overwrite all history data currently in this Daily Dozen application. Would you like to proceed with the import?	Attenzione: questa importazione sovrascriverà la corrente cronologia dell’applicazione Dozzina quotidiana. Vuoi continuare con l’importazione?	History Data: import caution text	
	history_data_import_error_text	Error: The import was not performed because of a data error. The existing data has remained unchanged.	Errore: l’importazione non è stata possibile a causa di un errore nei dati. I dati esistenti non sono stati modificati.	History Data: import data error text	
	history_data_import_notfound_text	Did not find a valid import file in the Daily Dozen Documents folder.	Non è stato trovato un file valido per l’importazione.	History Data: import not found text	
	history_data_title	History	Cronologia	History Data: preferences header & title	